"Date","Spot exchange rate, Chinese Yuan into Sterling                          XUDLBK89"
"31 Dec 19","9.1926"
"30 Dec 19","9.1627"
"27 Dec 19","9.1598"
"24 Dec 19","9.0714"
"23 Dec 19","9.0642"
"20 Dec 19","9.1425"
"19 Dec 19","9.1329"
"18 Dec 19","9.1511"
"17 Dec 19","9.193"
"16 Dec 19","9.3233"
"13 Dec 19","9.3198"
"12 Dec 19","9.1582"
"11 Dec 19","9.2745"
"10 Dec 19","9.2629"
"09 Dec 19","9.2597"
"06 Dec 19","9.2191"
"05 Dec 19","9.267"
"04 Dec 19","9.239"
"03 Dec 19","9.1742"
"02 Dec 19","9.0945"
"29 Nov 19","9.095"
"28 Nov 19","9.0769"
"27 Nov 19","9.0486"
"26 Nov 19","9.0276"
"25 Nov 19","9.0799"
"22 Nov 19","9.0337"
"21 Nov 19","9.0843"
"20 Nov 19","9.0821"
"19 Nov 19","9.0864"
"18 Nov 19","9.1081"
"15 Nov 19","9.0369"
"14 Nov 19","9.025"
"13 Nov 19","9.0159"
"12 Nov 19","8.9958"
"11 Nov 19","9.023"
"08 Nov 19","8.9485"
"07 Nov 19","8.9454"
"06 Nov 19","9.0077"
"05 Nov 19","9.0168"
"04 Nov 19","9.0729"
"01 Nov 19","9.1105"
"31 Oct 19","9.1063"
"30 Oct 19","9.0793"
"29 Oct 19","9.1173"
"28 Oct 19","9.0867"
"25 Oct 19","9.0671"
"24 Oct 19","9.0814"
"23 Oct 19","9.1041"
"22 Oct 19","9.1358"
"21 Oct 19","9.1826"
"18 Oct 19","9.1331"
"17 Oct 19","9.0867"
"16 Oct 19","9.0869"
"15 Oct 19","9.046"
"14 Oct 19","8.893"
"11 Oct 19","8.9945"
"10 Oct 19","8.7359"
"09 Oct 19","8.713"
"08 Oct 19","8.7219"
"07 Oct 19","8.8067"
"04 Oct 19","8.7874"
"03 Oct 19","8.8682"
"02 Oct 19","8.7945"
"01 Oct 19","8.7366"
"30 Sep 19","8.8004"
"27 Sep 19","8.7638"
"26 Sep 19","8.7935"
"25 Sep 19","8.8249"
"24 Sep 19","8.8767"
"23 Sep 19","8.8437"
"20 Sep 19","8.8638"
"19 Sep 19","8.8589"
"18 Sep 19","8.8442"
"17 Sep 19","8.8521"
"16 Sep 19","8.7747"
"13 Sep 19","8.8159"
"12 Sep 19","8.7259"
"11 Sep 19","8.7832"
"10 Sep 19","8.7865"
"09 Sep 19","8.7908"
"06 Sep 19","8.7623"
"05 Sep 19","8.8158"
"04 Sep 19","8.7151"
"03 Sep 19","8.6788"
"02 Sep 19","8.6503"
"30 Aug 19","8.7136"
"29 Aug 19","8.7197"
"28 Aug 19","8.7543"
"27 Aug 19","8.7865"
"23 Aug 19","8.6855"
"22 Aug 19","8.6787"
"21 Aug 19","8.5667"
"20 Aug 19","8.5642"
"19 Aug 19","8.5542"
"16 Aug 19","8.5529"
"15 Aug 19","8.5198"
"14 Aug 19","8.4741"
"13 Aug 19","8.4981"
"12 Aug 19","8.5248"
