"DATE","TIME PERIOD","Chinese yuan renminbi/Euro (EXR.D.CNY.EUR.SP00.A)","UK pound sterling/Euro (EXR.D.GBP.EUR.SP00.A)"
"1999-01-04","04 Jan 1999","","0.71110"
"1999-01-05","05 Jan 1999","","0.71220"
"1999-01-06","06 Jan 1999","","0.70760"
"1999-01-07","07 Jan 1999","","0.70585"
"1999-01-08","08 Jan 1999","","0.70940"
"1999-01-11","11 Jan 1999","","0.70440"
"1999-01-12","12 Jan 1999","","0.70660"
"1999-01-13","13 Jan 1999","","0.70840"
"1999-01-14","14 Jan 1999","","0.70620"
"1999-01-15","15 Jan 1999","","0.70390"
"1999-01-18","18 Jan 1999","","0.70130"
"1999-01-19","19 Jan 1999","","0.70000"
"1999-01-20","20 Jan 1999","","0.70140"
"1999-01-21","21 Jan 1999","","0.70230"
"1999-01-22","22 Jan 1999","","0.70050"
"1999-01-25","25 Jan 1999","","0.69890"
"1999-01-26","26 Jan 1999","","0.69760"
"1999-01-27","27 Jan 1999","","0.69680"
"1999-01-28","28 Jan 1999","","0.69280"
"1999-01-29","29 Jan 1999","","0.69100"
"1999-02-01","01 Feb 1999","","0.69040"
"1999-02-02","02 Feb 1999","","0.68880"
"1999-02-03","03 Feb 1999","","0.69250"
"1999-02-04","04 Feb 1999","","0.68940"
"1999-02-05","05 Feb 1999","","0.68850"
"1999-02-08","08 Feb 1999","","0.68880"
"1999-02-09","09 Feb 1999","","0.69110"
"1999-02-10","10 Feb 1999","","0.69540"
"1999-02-11","11 Feb 1999","","0.69750"
"1999-02-12","12 Feb 1999","","0.69170"
"1999-02-15","15 Feb 1999","","0.68950"
"1999-02-16","16 Feb 1999","","0.68540"
"1999-02-17","17 Feb 1999","","0.68730"
"1999-02-18","18 Feb 1999","","0.68710"
"1999-02-19","19 Feb 1999","","0.68380"
"1999-02-22","22 Feb 1999","","0.67890"
"1999-02-23","23 Feb 1999","","0.67960"
"1999-02-24","24 Feb 1999","","0.68830"
"1999-02-25","25 Feb 1999","","0.68880"
"1999-02-26","26 Feb 1999","","0.68730"
"1999-03-01","01 Mar 1999","","0.68290"
"1999-03-02","02 Mar 1999","","0.67640"
"1999-03-03","03 Mar 1999","","0.67230"
"1999-03-04","04 Mar 1999","","0.67590"
"1999-03-05","05 Mar 1999","","0.67370"
"1999-03-08","08 Mar 1999","","0.67760"
"1999-03-09","09 Mar 1999","","0.67540"
"1999-03-10","10 Mar 1999","","0.67460"
"1999-03-11","11 Mar 1999","","0.66940"
"1999-03-12","12 Mar 1999","","0.66860"
"1999-03-15","15 Mar 1999","","0.67390"
"1999-03-16","16 Mar 1999","","0.67030"
"1999-03-17","17 Mar 1999","","0.67440"
"1999-03-18","18 Mar 1999","","0.67600"
"1999-03-19","19 Mar 1999","","0.67080"
"1999-03-22","22 Mar 1999","","0.66770"
"1999-03-23","23 Mar 1999","","0.67060"
"1999-03-24","24 Mar 1999","","0.66530"
"1999-03-25","25 Mar 1999","","0.66680"
"1999-03-26","26 Mar 1999","","0.66500"
"1999-03-29","29 Mar 1999","","0.66150"
"1999-03-30","30 Mar 1999","","0.66380"
"1999-03-31","31 Mar 1999","","0.66630"
"1999-04-01","01 Apr 1999","","0.66900"
"1999-04-02","02 Apr 1999","","0.67200"
"1999-04-05","05 Apr 1999","","0.67020"
"1999-04-06","06 Apr 1999","","0.67590"
"1999-04-07","07 Apr 1999","","0.67720"
"1999-04-08","08 Apr 1999","","0.67310"
"1999-04-09","09 Apr 1999","","0.67240"
"1999-04-12","12 Apr 1999","","0.67230"
"1999-04-13","13 Apr 1999","","0.66710"
"1999-04-14","14 Apr 1999","","0.66670"
"1999-04-15","15 Apr 1999","","0.66820"
"1999-04-16","16 Apr 1999","","0.66330"
"1999-04-19","19 Apr 1999","","0.65860"
"1999-04-20","20 Apr 1999","","0.65890"
"1999-04-21","21 Apr 1999","","0.65930"
"1999-04-22","22 Apr 1999","","0.65850"
"1999-04-23","23 Apr 1999","","0.65830"
"1999-04-26","26 Apr 1999","","0.65690"
"1999-04-27","27 Apr 1999","","0.65870"
"1999-04-28","28 Apr 1999","","0.65830"
"1999-04-29","29 Apr 1999","","0.65840"
"1999-04-30","30 Apr 1999","","0.65710"
"1999-05-03","03 May 1999","","0.65710"
"1999-05-04","04 May 1999","","0.65530"
"1999-05-05","05 May 1999","","0.65520"
"1999-05-06","06 May 1999","","0.66010"
"1999-05-07","07 May 1999","","0.66100"
"1999-05-10","10 May 1999","","0.66040"
"1999-05-11","11 May 1999","","0.66190"
"1999-05-12","12 May 1999","","0.65770"
"1999-05-13","13 May 1999","","0.65600"
"1999-05-14","14 May 1999","","0.66010"
"1999-05-17","17 May 1999","","0.65980"
"1999-05-18","18 May 1999","","0.65920"
"1999-05-19","19 May 1999","","0.65690"
"1999-05-20","20 May 1999","","0.65910"
"1999-05-21","21 May 1999","","0.65830"
"1999-05-24","24 May 1999","","0.66170"
"1999-05-25","25 May 1999","","0.66340"
"1999-05-26","26 May 1999","","0.65800"
"1999-05-27","27 May 1999","","0.65510"
"1999-05-28","28 May 1999","","0.65460"
"1999-05-31","31 May 1999","","0.65240"
"1999-06-01","01 Jun 1999","","0.65050"
"1999-06-02","02 Jun 1999","","0.64430"
"1999-06-03","03 Jun 1999","","0.64580"
"1999-06-04","04 Jun 1999","","0.64120"
"1999-06-07","07 Jun 1999","","0.64140"
"1999-06-08","08 Jun 1999","","0.64890"
"1999-06-09","09 Jun 1999","","0.65230"
"1999-06-10","10 Jun 1999","","0.65380"
"1999-06-11","11 Jun 1999","","0.65060"
"1999-06-14","14 Jun 1999","","0.64730"
"1999-06-15","15 Jun 1999","","0.65010"
"1999-06-16","16 Jun 1999","","0.65100"
"1999-06-17","17 Jun 1999","","0.64810"
"1999-06-18","18 Jun 1999","","0.65060"
"1999-06-21","21 Jun 1999","","0.65060"
"1999-06-22","22 Jun 1999","","0.64980"
"1999-06-23","23 Jun 1999","","0.65110"
"1999-06-24","24 Jun 1999","","0.65330"
"1999-06-25","25 Jun 1999","","0.65780"
"1999-06-28","28 Jun 1999","","0.65640"
"1999-06-29","29 Jun 1999","","0.65440"
