,US_GDP,US_PCE,US_CPI,US_CPI2,US_IP,EA_GDP,EA_PCE,EA_HICP,EA_IP,CH_GDP,CH_PCE,CH_CPI,CH_IP,UK_GDP,UK_PCE,UK_CPI,UK_CPI2,UK_IP,EUR_USD,USD_CNY,GBP_USD,GBP_CNY,EUR_CNY,EUR_GBP,USD_EUR,CNY_USD,USD_GBP,CNY_GBP,CNY_EUR,GBP_EUR
1980-01-01,7341.557,4534.348,,13.469735746,51.944,,,,67.7813721631261,1804728.625,1726259.61981795,,,202901.2,,18.38803,18.3498,68.98366999999999,,,2.2641,,,,,,0.44167660439026546,,,
1980-02-01,,,,13.599492679,51.9633,,,,,,,,,,,19.10005,19.22753,67.4039,,,2.2891,,,,,,0.436852911624656,,,
1980-03-01,,,,14.331667424,51.7454,,,,,,,,,,,19.75309,19.82912,66.98262,,,2.2045,,,,,,0.4536176003628941,,,
1980-04-01,7190.289,4432.231,,14.755204998,50.7197,,,,67.067538562086,,,,,198842.4,,21.755370000000003,22.04846,65.08689,,,2.2094,,,,,,0.4526115687516973,,,
1980-05-01,,,,15.115272835,49.4766,,,,,,,,,,,21.90829,22.04221,65.19221,,,2.302,,,,,,0.43440486533449174,,,
1980-06-01,,,,15.774166719,48.8383,,,,,,,,,,,20.99271,21.33882,65.29751999999999,,,2.3359,,,,,,0.42810051800162674,,,
1980-07-01,7181.743,4480.849,,14.133410238,48.4907,,,,66.643614392886,,,,,198646.1,,16.93584,17.12096,63.92838,,,2.3732,,,,,,0.42137198719029156,,,
1980-08-01,,,,13.268359535,48.6456,,,,,,,,,,,16.284110000000002,16.64869,62.8752,,,2.3704,,,,,,0.42186972662841715,,,
1980-09-01,,,,13.087752647,49.4578,,,,,,,,,,,15.86621,16.19611,61.71669,,,2.4012,,,,,,0.41645843744794275,,,
1980-10-01,7315.677,4541.39,,13.084188753,50.0861,,,,66.167725325526,,,,,196470.2,,15.407470000000002,15.69563,61.61137,,,2.4165,,,,,,0.4138216428719222,,,
